district,state,date,fire_count,year,month,day,day_of_season
Panipat,Haryana,2023-10-08,5,2023,10,8,8
Rewari,Haryana,2023-10-08,0,2023,10,8,8
Rohtak,Haryana,2023-10-08,2,2023,10,8,8
Sirsa,Haryana,2023-10-08,4,2023,10,8,8
Sonipat,Haryana,2023-10-08,11,2023,10,8,8
Yamunanagar,Haryana,2023-10-08,9,2023,10,8,8
Amritsar,Punjab,2023-10-08,70,2023,10,8,8
Barnala,Punjab,2023-10-08,0,2023,10,8,8
Bathinda,Punjab,2023-10-08,0,2023,10,8,8
Faridkot,Punjab,2023-10-08,1,2023,10,8,8
Fatehgarh Sahib,Punjab,2023-10-08,6,2023,10,8,8
Fazilka,Punjab,2023-10-08,2,2023,10,8,8
Ferozepur,Punjab,2023-10-08,7,2023,10,8,8
Gurdaspur,Punjab,2023-10-08,2,2023,10,8,8
Hoshiarpur,Punjab,2023-10-08,0,2023,10,8,8
Jalandhar,Punjab,2023-10-08,1,2023,10,8,8
Kapurthala,Punjab,2023-10-08,5,2023,10,8,8
Ludhiana,Punjab,2023-10-08,5,2023,10,8,8
Malerkotla,Punjab,2023-10-08,0,2023,10,8,8
Mansa,Punjab,2023-10-08,4,2023,10,8,8
Moga,Punjab,2023-10-08,0,2023,10,8,8
Pathankot,Punjab,2023-10-08,0,2023,10,8,8
Patiala,Punjab,2023-10-08,37,2023,10,8,8
Rupnagar,Punjab,2023-10-08,0,2023,10,8,8
S A S Nagar,Punjab,2023-10-08,12,2023,10,8,8
Sangrur,Punjab,2023-10-08,17,2023,10,8,8
Shahid Bhagat Singh Nagar,Punjab,2023-10-08,0,2023,10,8,8
Sri Muktsar Sahib,Punjab,2023-10-08,0,2023,10,8,8
Tarn Taran,Punjab,2023-10-08,26,2023,10,8,8
Ambala,Haryana,2023-10-09,8,2023,10,9,9
Bhiwani,Haryana,2023-10-09,0,2023,10,9,9
Charkhi Dadri,Haryana,2023-10-09,2,2023,10,9,9
Faridabad,Haryana,2023-10-09,1,2023,10,9,9
Fatehabad,Haryana,2023-10-09,9,2023,10,9,9
Gurugram,Haryana,2023-10-09,2,2023,10,9,9
Hisar,Haryana,2023-10-09,9,2023,10,9,9
Jhajjar,Haryana,2023-10-09,2,2023,10,9,9
Jind,Haryana,2023-10-09,7,2023,10,9,9
Kaithal,Haryana,2023-10-09,9,2023,10,9,9
Karnal,Haryana,2023-10-09,0,2023,10,9,9
Kurukshetra,Haryana,2023-10-09,2,2023,10,9,9
Mahendragarh,Haryana,2023-10-09,0,2023,10,9,9
Nuh,Haryana,2023-10-09,0,2023,10,9,9
Palwal,Haryana,2023-10-09,3,2023,10,9,9
Panchkula,Haryana,2023-10-09,2,2023,10,9,9
Panipat,Haryana,2023-10-09,7,2023,10,9,9
Rewari,Haryana,2023-10-09,0,2023,10,9,9
Rohtak,Haryana,2023-10-09,0,2023,10,9,9
Sirsa,Haryana,2023-10-09,0,2023,10,9,9
Sonipat,Haryana,2023-10-09,3,2023,10,9,9
Yamunanagar,Haryana,2023-10-09,3,2023,10,9,9
Amritsar,Punjab,2023-10-09,13,2023,10,9,9
Barnala,Punjab,2023-10-09,0,2023,10,9,9
Bathinda,Punjab,2023-10-09,2,2023,10,9,9
Faridkot,Punjab,2023-10-09,3,2023,10,9,9
Fatehgarh Sahib,Punjab,2023-10-09,5,2023,10,9,9
Fazilka,Punjab,2023-10-09,0,2023,10,9,9
Ferozepur,Punjab,2023-10-09,3,2023,10,9,9
Gurdaspur,Punjab,2023-10-09,0,2023,10,9,9
Hoshiarpur,Punjab,2023-10-09,0,2023,10,9,9
Jalandhar,Punjab,2023-10-09,3,2023,10,9,9
Kapurthala,Punjab,2023-10-09,3,2023,10,9,9
Ludhiana,Punjab,2023-10-09,2,2023,10,9,9
Malerkotla,Punjab,2023-10-09,0,2023,10,9,9
Mansa,Punjab,2023-10-09,2,2023,10,9,9
Moga,Punjab,2023-10-09,1,2023,10,9,9
Pathankot,Punjab,2023-10-09,0,2023,10,9,9
Patiala,Punjab,2023-10-09,19,2023,10,9,9
Rupnagar,Punjab,2023-10-09,0,2023,10,9,9
S A S Nagar,Punjab,2023-10-09,1,2023,10,9,9
Sangrur,Punjab,2023-10-09,9,2023,10,9,9
Shahid Bhagat Singh Nagar,Punjab,2023-10-09,0,2023,10,9,9
Sri Muktsar Sahib,Punjab,2023-10-09,0,2023,10,9,9
Tarn Taran,Punjab,2023-10-09,17,2023,10,9,9
Ambala,Haryana,2023-10-10,1,2023,10,10,10
Bhiwani,Haryana,2023-10-10,1,2023,10,10,10
Charkhi Dadri,Haryana,2023-10-10,0,2023,10,10,10
Faridabad,Haryana,2023-10-10,1,2023,10,10,10
Fatehabad,Haryana,2023-10-10,16,2023,10,10,10
Gurugram,Haryana,2023-10-10,0,2023,10,10,10
Hisar,Haryana,2023-10-10,14,2023,10,10,10
Jhajjar,Haryana,2023-10-10,1,2023,10,10,10
Jind,Haryana,2023-10-10,19,2023,10,10,10
Kaithal,Haryana,2023-10-10,4,2023,10,10,10
Karnal,Haryana,2023-10-10,1,2023,10,10,10
Kurukshetra,Haryana,2023-10-10,3,2023,10,10,10
Mahendragarh,Haryana,2023-10-10,0,2023,10,10,10
Nuh,Haryana,2023-10-10,1,2023,10,10,10
Palwal,Haryana,2023-10-10,1,2023,10,10,10
Panchkula,Haryana,2023-10-10,0,2023,10,10,10
Panipat,Haryana,2023-10-10,1,2023,10,10,10
Rewari,Haryana,2023-10-10,0,2023,10,10,10
Rohtak,Haryana,2023-10-10,0,2023,10,10,10
Sirsa,Haryana,2023-10-10,0,2023,10,10,10
Sonipat,Haryana,2023-10-10,4,2023,10,10,10
Yamunanagar,Haryana,2023-10-10,0,2023,10,10,10
Amritsar,Punjab,2023-10-10,2,2023,10,10,10
Barnala,Punjab,2023-10-10,0,2023,10,10,10
Bathinda,Punjab,2023-10-10,1,2023,10,10,10
Faridkot,Punjab,2023-10-10,0,2023,10,10,10
Fatehgarh Sahib,Punjab,2023-10-10,0,2023,10,10,10
Fazilka,Punjab,2023-10-10,0,2023,10,10,10
Ferozepur,Punjab,2023-10-10,3,2023,10,10,10
Gurdaspur,Punjab,2023-10-10,0,2023,10,10,10
Hoshiarpur,Punjab,2023-10-10,0,2023,10,10,10
Jalandhar,Punjab,2023-10-10,0,2023,10,10,10
Kapurthala,Punjab,2023-10-10,0,2023,10,10,10
Ludhiana,Punjab,2023-10-10,0,2023,10,10,10
Malerkotla,Punjab,2023-10-10,0,2023,10,10,10
Mansa,Punjab,2023-10-10,4,2023,10,10,10
Moga,Punjab,2023-10-10,0,2023,10,10,10
Pathankot,Punjab,2023-10-10,0,2023,10,10,10
Patiala,Punjab,2023-10-10,3,2023,10,10,10
Rupnagar,Punjab,2023-10-10,0,2023,10,10,10
S A S Nagar,Punjab,2023-10-10,0,2023,10,10,10
Sangrur,Punjab,2023-10-10,11,2023,10,10,10
Shahid Bhagat Singh Nagar,Punjab,2023-10-10,0,2023,10,10,10
Sri Muktsar Sahib,Punjab,2023-10-10,1,2023,10,10,10
Tarn Taran,Punjab,2023-10-10,1,2023,10,10,10
Ambala,Haryana,2023-10-11,3,2023,10,11,11
Bhiwani,Haryana,2023-10-11,1,2023,10,11,11
Charkhi Dadri,Haryana,2023-10-11,0,2023,10,11,11
Faridabad,Haryana,2023-10-11,1,2023,10,11,11
Fatehabad,Haryana,2023-10-11,17,2023,10,11,11
Gurugram,Haryana,2023-10-11,0,2023,10,11,11
Hisar,Haryana,2023-10-11,4,2023,10,11,11
Jhajjar,Haryana,2023-10-11,0,2023,10,11,11
