date,state,district,latitude,longitude,T2M,RH2M,WS2M,PRECTOTCORR
2023-10-04,Haryana,Rewari,28.218052063163164,76.58132633069286,25.99,48.65,2.1,0.0
2023-10-04,Haryana,Rohtak,28.890391271768912,76.58711212346486,25.84,51.38,2.11,0.0
2023-10-04,Haryana,Sirsa,29.607701636133694,74.90219049734955,27.1,43.69,1.74,0.0
2023-10-04,Haryana,Sonipat,29.04144661205219,76.92269022620889,25.84,51.38,2.11,0.0
2023-10-04,Haryana,Yamunanagar,30.21596046306505,77.32593352712522,24.23,79.72,1.22,0.0
2023-10-04,Punjab,Amritsar,31.768348175268173,74.83152910633842,24.35,64.56,1.09,0.0
2023-10-04,Punjab,Barnala,30.371680221986,75.50398867541129,24.81,59.57,1.4,0.0
2023-10-04,Punjab,Bathinda,30.17871971019124,75.04726349831094,26.32,50.76,1.57,0.0
2023-10-04,Punjab,Faridkot,30.601450692214996,74.7950175816776,25.71,55.17,1.38,0.0
2023-10-04,Punjab,Fatehgarh Sahib,30.66340418174693,76.38030000408074,23.8,69.29,1.77,0.0
2023-10-04,Punjab,Fazilka,30.31980391667596,74.12171938317266,26.69,48.49,1.39,0.0
2023-10-04,Punjab,Ferozepur,30.87509200657761,74.65246116977548,26.31,52.15,1.26,0.0
2023-10-04,Punjab,Gurdaspur,31.9037264151506,75.2275586781716,24.35,64.56,1.09,0.0
2023-10-04,Punjab,Hoshiarpur,31.609219596154738,75.84642415551608,24.17,67.83,1.24,0.0
2023-10-04,Punjab,Jalandhar,31.29216013175042,75.56799015005336,24.17,67.83,1.24,0.0
2023-10-04,Punjab,Kapurthala,31.385696002099188,75.30507242617082,24.76,61.99,1.16,0.0
2023-10-04,Punjab,Ludhiana,30.7894070063378,75.8269723540071,24.34,65.0,1.26,0.0
2023-10-04,Punjab,Malerkotla,30.53539665453949,75.90930476301081,24.81,59.57,1.4,0.0
2023-10-04,Punjab,Mansa,29.87609304897272,75.48897114252104,25.77,52.04,1.63,0.0
2023-10-04,Punjab,Moga,30.78789813490662,75.15948622899586,25.2,59.41,1.23,0.0
2023-10-04,Punjab,Pathankot,32.30240743677128,75.65917183518236,21.71,60.81,1.43,0.0
2023-10-04,Punjab,Patiala,30.209446568832767,76.3401900977164,24.55,58.76,1.98,0.0
2023-10-04,Punjab,Rupnagar,31.091852137104816,76.52884261538372,24.31,70.64,1.55,0.0
2023-10-04,Punjab,S A S Nagar,30.648369118470583,76.74153537716319,24.03,72.04,1.74,0.0
2023-10-04,Punjab,Sangrur,30.13610603133042,75.85318872676024,25.77,52.04,1.63,0.0
2023-10-04,Punjab,Shahid Bhagat Singh Nagar,31.1269689351848,76.15989883059602,24.31,70.64,1.55,0.0
2023-10-04,Punjab,Sri Muktsar Sahib,30.2867161417038,74.52622342534394,26.69,48.49,1.39,0.0
2023-10-04,Punjab,Tarn Taran,31.321239581691398,74.84163356037237,24.76,61.99,1.16,0.0
2023-10-05,Haryana,Ambala,30.343438108912817,76.95024921469127,23.4,72.23,1.58,0.0
2023-10-05,Haryana,Bhiwani,28.73219288472609,75.89337821950218,28.56,32.37,1.82,0.0
2023-10-05,Haryana,Charkhi Dadri,28.600107403877978,76.11252943314335,27.79,40.95,1.81,0.0
2023-10-05,Haryana,Faridabad,28.357120662974943,77.32652466206271,25.43,62.27,1.63,0.0
2023-10-05,Haryana,Fatehabad,29.535920901544625,75.57529013938226,27.58,40.66,1.64,0.0
2023-10-05,Haryana,Gurugram,28.37015524993778,76.94146217624308,26.96,48.83,1.63,0.0
2023-10-05,Haryana,Hisar,29.239590948148248,75.81763293528249,28.37,35.13,1.75,0.0
2023-10-05,Haryana,Jhajjar,28.59801797300188,76.65110859741466,26.96,48.83,1.63,0.0
2023-10-05,Haryana,Jind,29.437717022786757,76.27614551401206,26.64,47.36,1.64,0.0
2023-10-05,Haryana,Kaithal,29.85338633918043,76.46879317699411,25.21,58.61,1.42,0.0
2023-10-05,Haryana,Karnal,29.704818373204336,76.91565469449591,25.18,59.34,1.66,0.0
2023-10-05,Haryana,Kurukshetra,30.060670122952907,76.7631052787682,23.92,72.55,1.34,0.0
2023-10-05,Haryana,Mahendragarh,28.13306603907548,76.16809085698935,27.31,41.64,1.72,0.0
2023-10-05,Haryana,Nuh,27.994038226060827,77.0415066894139,27.02,47.43,1.56,0.0
2023-10-05,Haryana,Palwal,28.059881010119238,77.32236384154979,26.04,55.78,1.5,0.0
2023-10-05,Haryana,Panchkula,30.699534905048324,76.98763552598416,23.4,72.23,1.58,0.0
2023-10-05,Haryana,Panipat,29.34200687791469,76.88923900130017,25.18,59.34,1.66,0.0
2023-10-05,Haryana,Rewari,28.218052063163164,76.58132633069286,27.02,47.43,1.56,0.0
2023-10-05,Haryana,Rohtak,28.890391271768912,76.58711212346486,26.48,51.17,1.73,0.0
2023-10-05,Haryana,Sirsa,29.607701636133694,74.90219049734955,27.66,40.46,1.48,0.0
2023-10-05,Haryana,Sonipat,29.04144661205219,76.92269022620889,26.48,51.17,1.73,0.0
2023-10-05,Haryana,Yamunanagar,30.21596046306505,77.32593352712522,23.35,82.32,1.31,0.0
2023-10-05,Punjab,Amritsar,31.768348175268173,74.83152910633842,24.32,65.91,0.94,0.0
2023-10-05,Punjab,Barnala,30.371680221986,75.50398867541129,25.19,59.37,1.28,0.0
2023-10-05,Punjab,Bathinda,30.17871971019124,75.04726349831094,26.73,48.41,1.36,0.0
2023-10-05,Punjab,Faridkot,30.601450692214996,74.7950175816776,26.08,53.21,1.27,0.0
2023-10-05,Punjab,Fatehgarh Sahib,30.66340418174693,76.38030000408074,24.46,67.4,1.28,0.0
2023-10-05,Punjab,Fazilka,30.31980391667596,74.12171938317266,26.99,47.0,1.2,0.0
2023-10-05,Punjab,Ferozepur,30.87509200657761,74.65246116977548,26.62,49.7,1.19,0.0
2023-10-05,Punjab,Gurdaspur,31.9037264151506,75.2275586781716,24.32,65.91,0.94,0.0
2023-10-05,Punjab,Hoshiarpur,31.609219596154738,75.84642415551608,24.01,72.0,1.23,0.0
2023-10-05,Punjab,Jalandhar,31.29216013175042,75.56799015005336,24.01,72.0,1.23,0.0
2023-10-05,Punjab,Kapurthala,31.385696002099188,75.30507242617082,24.73,64.46,1.14,0.0
2023-10-05,Punjab,Ludhiana,30.7894070063378,75.8269723540071,24.46,67.72,1.26,0.0
2023-10-05,Punjab,Malerkotla,30.53539665453949,75.90930476301081,25.19,59.37,1.28,0.0
2023-10-05,Punjab,Mansa,29.87609304897272,75.48897114252104,26.11,51.37,1.44,0.0
2023-10-05,Punjab,Moga,30.78789813490662,75.15948622899586,25.43,59.18,1.22,0.0
2023-10-05,Punjab,Pathankot,32.30240743677128,75.65917183518236,22.07,56.98,1.25,0.0
2023-10-05,Punjab,Patiala,30.209446568832767,76.3401900977164,25.21,58.61,1.42,0.0
2023-10-05,Punjab,Rupnagar,31.091852137104816,76.52884261538372,24.67,68.33,1.39,0.0
2023-10-05,Punjab,S A S Nagar,30.648369118470583,76.74153537716319,23.4,72.23,1.58,0.0
2023-10-05,Punjab,Sangrur,30.13610603133042,75.85318872676024,26.11,51.37,1.44,0.0
2023-10-05,Punjab,Shahid Bhagat Singh Nagar,31.1269689351848,76.15989883059602,24.67,68.33,1.39,0.0
2023-10-05,Punjab,Sri Muktsar Sahib,30.2867161417038,74.52622342534394,26.99,47.0,1.2,0.0
2023-10-05,Punjab,Tarn Taran,31.321239581691398,74.84163356037237,24.73,64.46,1.14,0.0
2023-10-06,Haryana,Ambala,30.343438108912817,76.95024921469127,24.14,65.02,1.34,0.0
